a;b;c;d;e
578;9月30日;スナック眉村ちあき;眉村ちあき、EXIT、本郷杏、村上健志（フルーツポンチ）、品川祐（品川庄司）;2018年
579;10月7日;遂に復活！松丸アナ伝説(秘)名場面;野呂佳代、朝日奈央;2018年
580;10月14日;松丸 育児休業明け復活祭;野呂佳代、朝日奈央、西村瑞樹（バイきんぐ）;2018年
581;10月21日;第10回コンビ愛確かめ選手権;南海キャンディーズ、ダイアン、コロコロチキチキペッパーズ;2018年
582;10月28日;第10回コンビ愛確かめ選手権;南海キャンディーズ、ダイアン、コロコロチキチキペッパーズ;2018年
583;11月4日;劇団ひとりVS西野 もう一度嫌いになろう!;西野亮廣（キングコング）;2018年
584;11月11日;第7回ジジイ芸人キレ悪検証テスト;朝日奈央、カミナリ、EXIT、ソノヘンノ女、伊藤桃々、若林萌々;2018年
585;11月18日;スベりたくない!SP;NA;2018年
586;11月25日;スナック眉村ちあき2;眉村ちあき、さらば青春の光、飯塚悟志（東京03）、中村マネージャー、手島優;2018年
587;12月2日;マジギライ1/5;ジャングルポケット、神崎紗衣、エア、川上愛、鎌沢朋佳;2018年
588;12月9日;芝居ヤバイ芸人決定戦;ネゴシックス、本郷杏、いかちゃん、遠山茜子、園都、石岡真衣;2018年
589;12月16日;松丸野呂朝日プロデュース王決定戦;野呂佳代、朝日奈央、バカリズム;2018年
590;12月28日;第16回芸人マジ歌選手権SP;バナナマン、東京03、秋山竜次（ロバート）、ハライチ、後藤輝基（フットボールアワー）、野性爆弾ISSA（DA PUMP）、池田美優、ノブ（千鳥）、吉村崇（平成ノブシコブシ）、アルコ&ピース、野呂佳代、朝日奈央;2018年
591;1月6日;ウソつけない女アイドルグループ結成;石原由希、永井すみれ、鎌沢朋佳、朝日奈央;2019年
592;1月13日;フルポン村上の自分探しに付き合ってあげよう;村上健志（フルーツポンチ）;2019年
593;1月20日;新春エロかるたを作ろう;森田哲矢（さらば青春の光）、紺野ぶるま、石原由希、永井すみれ、鎌沢朋佳、野呂佳代;2019年
594;1月27日;第10回イチャまんグランプリ;ハナコ、チョコレートプラネット、かまいたち、篠田ゆう、小倉由菜、小島みなみ;2019年
595;2月2日;トリオ愛確かめ選手権;東京03、パンサー、ジャングルポケット;2019年
596;2月9日;トリオ愛確かめ選手権;東京03、パンサー、ジャングルポケット、花咲れあ、霜月のあ、源藤アイリ;2019年
597;2月16日;このツイッターが心配だ 2019;アルコ&ピース、望月める、マシンガンズ、井口浩之（ウエストランド）、香椎かてぃ（ZOC)、吉田豪;2019年
598;2月23日;第12回オオギリッシュNIGHT;ケンドーコバヤシ、くっきー（野性爆弾）、バカリズム、川島明（麒麟）、神部美咲、源藤アイリ、真奈;2019年
599;3月3日;結婚引退 谷桃子メモリアルSP;NA;2019年
600;3月10日;第5回バカヤロウ徒競走;ダイアン、コロコロチキチキペッパーズ、野呂佳代、パンサー;2019年
601;3月17日;第5回バカヤロウ徒競走;ダイアン、コロコロチキチキペッパーズ、野呂佳代、パンサー;2019年
602;3月24日;第4回腐り芸人セラピー インパルス復活SP;インパルス、岩井勇気（ハライチ）、徳井健太（平成ノブシコブシ）;2019年
603;3月31日;汗と涙のガチンコ勝負SP;NA;2019年
604;4月7日;ゴッドタン三者面談;三四郎、EXIT、小池美由、本郷杏、朝日奈央、野呂佳代;2019年
605;4月14日;第1回芸人マジ芝居選手権;ハナコ、‎斉藤慎二（ジャングルポケット）、鈴木浩介、アンジェリカ、源藤アイリ、森みはる;2019年
606;4月21日;スナック眉村ちあき3;眉村ちあき、宮下草薙、ジャングルポケット;2019年
607;5月5日;スナック眉村ちあき3;眉村ちあき、宮下草薙、ジャングルポケット、東京03;2019年
607;5月5日;超身内サテライト;朝日奈央、手島優、中村マネージャー;2019年
608;5月12日;芸人ラジオサミット 〜次世代を担うスター候補SP〜;ハライチ、アルコ&ピース、Creepy Nuts、野呂佳代;2019年
609;5月19日;第5回ネタギリッシュNIGHT;インポッシブル、トム・ブラウン、ルシファー吉岡、プラス・マイナス、花咲れあ、みうらうみ、神部美咲、野呂佳代;2019年
610;5月26日;お笑いを存分に語れるBAR;飯塚悟志（東京03）、田中卓志（アンガールズ）、岡部大・秋山寛貴（ハナコ）、あいな、神部美咲;2019年
611;6月9日;Truthの公式お兄ちゃんオーディション 前編;石原由希、永井すみれ、TOMOKA、ダイアン;2019年
612;6月16日;マジギライ1/5;かまいたち、天竺鼠、久保田かずのぶ（とろサーモン）、白川未奈、小島みゆ、あいな;2019年
613;6月22日;ネタギリッシュNIGHT チャンピオン大会;タイムマシーン3号、ザ・ギース、ジョイマン、AMEMIYA、チョコレートプラネット、プラス・マイナス、マツモトクラブ、さらば青春の光、手島優、野呂佳代、和地つかさ、神部美咲;2019年
614;6月30日;ネタギリッシュNIGHT チャンピオン大会;タイムマシーン3号、ザ・ギース、ジョイマン、AMEMIYA、チョコレートプラネット、プラス・マイナス、マツモトクラブ、さらば青春の光、手島優、野呂佳代、和地つかさ、神部美咲;2019年
615;7月7日;Truthの公式お兄ちゃんオーディション 後編;石原由希、永井すみれ、TOMOKA、銀シャリ、チョコレートプラネット、タイムマシーン3号;2019年
616;7月14日;この若手知ってんのか!?2019;三四郎、朝日奈央、児島気奈、令和ロマン、かが屋、ティモンディ、パラダイスメン、スタンダップコーギー、空気階段、ガーリィレコードチャンネル、フワちゃん;2019年
617;7月21日;この若手知ってんのか!?2019;三四郎、朝日奈央、児島気奈、令和ロマン、かが屋、ティモンディ、パラダイスメン、スタンダップコーギー、空気階段、ガーリィレコードチャンネル、フワちゃん;2019年
618;7月28日;アイドル飲み姿カワイイGP7;野呂佳代、橋本梨菜、源藤アンリ、日野麻衣;2019年
619;8月4日;このグラビアアイドル知ってんのか!? 2019;平子祐希（アルコ&ピース）、たかし（トレンディエンジェル）、朝日奈央、小林司、呂布カルマ、倉持由香葉月つばさ、菜乃花、AKO、真島なおみ;2019年
620;8月11日;第5回腐り芸人セラピー;岩井勇気（ハライチ）、板倉俊之（インパルス）、徳井健太（平成ノブシコブシ）、野呂佳代、うしろシティ、辰巳奈都子、金田哲（はんにゃ）;2019年
621;8月18日;ナツカシッシュNIGHT;小沢一敬（スピードワゴン）、くっきー（野性爆弾）、ケンドーコバヤシ、バカリズム、磯山さやか、みうらうみ、青山明日香;2019年
622;8月25日;〇〇はじめました選手権;AMEMIYA、空気階段、鬼越トマホーク、さらば青春の光、おたけ（ジャングルポケット）、宮下草薙、朝日奈央;2019年
623;9月1日;〇〇はじめました選手権 後半戦;AMEMIYA、空気階段、鬼越トマホーク、さらば青春の光、おたけ（ジャングルポケット）、宮下草薙、朝日奈央;2019年
623;9月1日;芸人ラジオサミット & 腐り芸人セラピー 未公開;NA;2019年
624;9月8日;東京03飯塚に友達を作ろう;飯塚悟志（東京03）、フワちゃん、ティモンディ、真島なおみ、金田哲（はんにゃ）、朝日奈央;2019年
625;9月15日;芸能界ストイック暗記王20;インパルス、EXIT、斉藤慎二（ジャングルポケット）、朝日奈央;2019年
626;9月22日;芸能界ストイック暗記王20;インパルス、EXIT、ジャングルポケット、朝日奈央、眉村ちあき;2019年
627;9月29日;お笑いを存分に語れるBAR2;飯塚悟志（東京03）、ナイツ、かまいたち、小沢一敬（スピードワゴン）、あいな;2019年
628;10月6日;マジギライ1/5;アルコ&ピース、タイムマシーン3号、あいな、椿原愛、徳田祐里、長友郁真;2019年
629;10月13日;ゲラ女王決定戦;三四郎、スタンダップコーギー、神宮寺しし丸、野呂佳代森田聖奈、出口亜梨沙、高萩千夏（アップアップガールズ（2））、青科まき;2019年
629;10月13日;AMEMIYAから重大発表!;AMEMIYA、朝日奈央;2019年
630;10月20日;Truthの公式お兄ちゃんオーディション;石原由希、永井すみれ、TOMOKA、サンシャイン池崎、向井慧（パンサー）;2019年
