a;b;c;d;e
64;8月14日;第4回キス我慢選手権;バナナマン、小杉竜一（ブラックマヨネーズ）、山里亮太（南海キャンディーズ）、イジリー岡田、大沢佑香（晶エリー、新井エリー）、希志あいの、Ami、みづなれい、長澤つぐみ、みひろ、成松慶彦;2008年
65;8月21日;第4回キス我慢選手権;バナナマン、小杉竜一（ブラックマヨネーズ）、山里亮太（南海キャンディーズ）、イジリー岡田、大沢佑香（晶エリー、新井エリー）、希志あいの、Ami、みづなれい、長澤つぐみ、みひろ、成松慶彦;2008年
66;8月28日;キモンスターズ・チャンプ2;バナナマン、オードリー;2008年
67;9月4日;第4回カエオケフレーズクイズ;バナナマン、小阪由佳、角田晃広（東京03）;2008年
68;9月11日;第1回M女オーディション;有吉弘行、佐野夏芽、華彩なな、アヤカ・ウィルソン;2008年
69;9月18日;第2回M女オーディション;有吉弘行、原幹恵、佐藤唯、アヤカ・ウィルソン;2008年
70;9月25日;ヒドイ女サミット 禁断の未公開SP;-;2008年
71;10月2日;タイトルロゴリニューアル!緊急オープニングトーク;-;2008年
72;10月9日;地元エピソードキング;品川庄司、TKO;2008年
73;10月16日;DVD発売記念!アイドルのおっぱいを見せてもらおう;バナナマン、優木まおみ、手島優、相澤仁美;2008年
74;10月23日;DVD発売記念!アイドルのおっぱいを見せてもらおう;バナナマン、優木まおみ、手島優、相澤仁美;2008年
75;10月30日;話し合えば何でも出来る!机上の空論;バナナマン、ジョイマン;2008年
75;10月30日;ゴッドタングッズ発売記念情報;バナナマン;2008年
76;11月6日;芸能界ストイック暗記王3;バナナマン、有吉弘行、田中涼子、深澤ゆうき、黒澤佐知子;2008年
77;11月13日;第3回M女オーディション;有吉弘行、次原かな、辰巳奈都子;2008年
78;11月20日;芸能界ストイック暗記王4;バナナマン、小島よしお、田中涼子、深澤ゆうき、黒澤佐知子、桜木凛;2008年
79;11月27日;飲み会のノリと勢いだけで番組を成立させよう!;黒沢かずこ（森三中）、キングオブコメディ、青島あきな;2008年
80;12月4日;ケンコバ&日村の女友達になりたい人いらっしゃ〜い;バナナマン、ケンドーコバヤシ、秋元玲奈、美月あかり、高瀬みさき;2008年
81;12月11日;芸能界ストイック暗記王5;はんにゃ、田中卓志（アンガールズ）、深澤ゆうき、藤井梨花、村岡沙耶香、初音みのり;2008年
82;12月18日;地元エピソードキング2;スピードワゴン、サバンナ;2008年
83;12月25日;クリスマス・イブ特別企画 クリスマスソングを作ろう;日村勇紀（バナナマン）、角田晃広（東京03）、原幹恵;2008年
84;1月3日;新春キス我慢特別編 雑ガマン選手権;日村勇紀（バナナマン）、はんにゃ、狩野英孝、サンドウィッチマン、春咲あずみ、麻美ゆま、明日花キララ;2009年
84;1月3日;第5回芸人マジ歌選手権 新春スペシャル;バナナマン、東京03、秋山竜次（ロバート）、ケンドーコバヤシ、香田晋、上原美優、有吉弘行;2009年
85;1月8日;放送コードギリギリ解禁未公開SP;-;2009年
86;1月15日;第2回飲み会のノリと勢いだけで番組を成立させよう!;日村勇紀（バナナマン）、角田晃広（東京03）、松本亜希、秋山竜次（ロバート）;2009年
87;1月22日;第4回M女オーディション;有吉弘行、大友さゆり、谷桃子;2009年
88;1月29日;地元エピソードキング3;スピードワゴン、サバンナ;2009年
